longitude,latitude
8.194354117101050861e+01,1.404077048110062620e+01
8.195350334438943207e+01,1.402036150620126520e+01
8.197666240931336290e+01,1.399099489478701486e+01
8.198982871671209693e+01,1.397087594516928277e+01
8.191526480645256925e+01,1.401327618810204356e+01
8.195273684496110889e+01,1.398599115496973333e+01
8.197634681917209321e+01,1.404662888697761858e+01
8.195455840087849708e+01,1.399320843254728786e+01
8.196371159534820094e+01,1.398930860244682783e+01
8.194075086157262433e+01,1.402324981385155489e+01
8.197502204575346241e+01,1.398911951086796890e+01
8.196940454502497175e+01,1.399569799436500617e+01
8.197264812853819649e+01,1.401274647114609095e+01
8.200491942296987702e+01,1.400319633901354344e+01
8.195780997459756634e+01,1.402113451576778580e+01
8.195484194264538758e+01,1.402331385326720969e+01
8.196620574384519387e+01,1.402168262900751117e+01
8.194477307637143326e+01,1.402024927571469881e+01
8.195805089599426196e+01,1.401856308054735401e+01
8.196523773251335854e+01,1.402460003059231752e+01
8.195598771335028232e+01,1.398838766700873038e+01
8.195063120890362995e+01,1.400077730846679458e+01
8.199519867759553904e+01,1.400800609471835045e+01
8.195877409191568574e+01,1.400416612493869017e+01
8.196518735342162643e+01,1.401595999904034784e+01
8.195471904744034930e+01,1.398626151558257824e+01
8.196578523282434503e+01,1.402820935142363368e+01
8.197861670305454140e+01,1.398472517484240463e+01
8.198057779608294027e+01,1.399383850302506538e+01
8.197308784299467277e+01,1.403049501548798617e+01
8.200534646529740712e+01,1.398872031769709423e+01
8.197184046129980572e+01,1.398859669573298881e+01
8.195588755924136137e+01,1.401147308118632395e+01
8.195611908957752689e+01,1.401166645821676759e+01
8.196138771858021244e+01,1.397001837733262342e+01
8.197848753279876632e+01,1.398076762611481705e+01
8.196985518648112645e+01,1.398311044198545083e+01
8.195126101467675994e+01,1.400536998331508620e+01
8.195066043390463051e+01,1.397940538009171796e+01
8.196816712084003598e+01,1.397303265347266965e+01
8.195888498193673399e+01,1.396209296059911509e+01
8.197431209660427953e+01,1.398930954747295274e+01
8.195408390915675056e+01,1.402913267069899916e+01
8.197032863661674185e+01,1.400446002068523654e+01
8.196406985990840610e+01,1.400785026517665877e+01
8.199189069581782974e+01,1.399630637543466349e+01
8.197139876123939928e+01,1.400235802119382811e+01
8.195608848024181725e+01,1.399142046728005440e+01
8.195154026429635508e+01,1.399620438927455979e+01
8.194686525770040930e+01,1.403464621359358233e+01
8.196807640074658252e+01,1.401752092285352447e+01
8.196256354998236304e+01,1.399736875562736493e+01
8.194633533418603122e+01,1.405404652791054865e+01
8.193943347637068086e+01,1.403187760699160158e+01
8.196568478491860787e+01,1.402312362664454248e+01
8.194858863761571399e+01,1.402984575251611510e+01
8.197848287667790146e+01,1.397153252976677962e+01
8.197590070569000886e+01,1.397992198230300254e+01
8.196707844087511319e+01,1.397972175389721983e+01
8.196205894258689284e+01,1.397936529671505745e+01
8.192266710290201104e+01,1.402160257799666176e+01
8.194583867812258404e+01,1.401459433819502998e+01
8.195697613721722519e+01,1.399248223915817313e+01
8.196132717242994659e+01,1.399907471133846038e+01
8.198176700394635930e+01,1.401241105166651835e+01
8.197322349567228628e+01,1.401507036328909805e+01
8.194847145421330481e+01,1.401980686744584226e+01
8.195947258725153972e+01,1.399282361296598332e+01
8.198345927831155677e+01,1.400923619404630038e+01
8.195812972975933519e+01,1.402377223702946907e+01
8.193663629202207233e+01,1.400970990973870123e+01
8.194438172131005160e+01,1.400351046603581295e+01
8.193439969251375032e+01,1.402938475923296480e+01
8.196839637176063320e+01,1.398496580209335605e+01
8.196477400319076878e+01,1.400041510075172368e+01
8.197602253765995783e+01,1.399899137311980368e+01
8.196225819379340294e+01,1.405155931287439763e+01
8.196472234339445606e+01,1.402415456802895477e+01
8.197899575162398378e+01,1.399401654824649377e+01
8.199086304258874236e+01,1.401626922848326551e+01
8.195726590246668763e+01,1.397641074271739647e+01
8.195167896010340769e+01,1.400242585833443698e+01
8.198256442890095741e+01,1.399804731998798069e+01
8.196404485888687930e+01,1.397527002512063277e+01
8.195048488386011343e+01,1.404861358709460539e+01
8.196667644030911504e+01,1.402348944883952875e+01
8.196750167268923803e+01,1.397813531571239487e+01
8.195567481465927528e+01,1.398424799519700379e+01
8.196601452407101362e+01,1.399878346455946243e+01
8.195562525334102588e+01,1.401829096284572707e+01
8.196005502597539305e+01,1.396782489456292353e+01
8.195061112343643117e+01,1.402918504405824152e+01
8.195006696359536136e+01,1.403591632804169542e+01
8.196967130341194263e+01,1.397719961641075592e+01
8.194349789655846905e+01,1.400715818551242009e+01
8.193389636454628544e+01,1.403599298031750031e+01
8.194507469704709024e+01,1.400872863935246748e+01
8.195712636257114525e+01,1.402134504709507645e+01
8.196217895815284749e+01,1.400149561136879228e+01
8.194375969023342066e+01,1.398633046704565785e+01
8.195842565406893243e+01,1.402064077634303629e+01
8.197754477390627414e+01,1.399232874490362022e+01
8.195906765072992073e+01,1.400761655472645550e+01
